R,G,B,red,pink,blue,white,light green,green,yellow,orange,light red
40,224,232,0,0,0,0,1,0,0,0,0
171,199,63,0,0,0,0,0,0,1,0,0
79,217,184,0,0,0,0,0,1,0,0,0
255,159,62,0,0,0,0,0,0,0,1,0
254,78,161,0,1,0,0,0,0,0,0,0
112,209,132,0,0,0,0,0,1,0,0,0
254,57,49,1,0,0,0,0,0,0,0,0
253,84,187,0,1,0,0,0,0,0,0,0
255,115,56,0,0,0,0,0,0,0,1,0
177,198,67,0,0,0,0,0,0,1,0,0
139,205,71,0,0,0,0,0,0,1,0,0
255,93,54,0,0,0,0,0,0,0,0,1
48,134,255,0,0,0,1,0,0,0,0,0
81,217,179,0,0,0,0,0,1,0,0,0
101,214,150,0,0,0,0,0,1,0,0,0
111,114,255,0,0,1,0,0,0,0,0,0
188,195,63,0,0,0,0,0,0,1,0,0
32,226,238,0,0,0,0,1,0,0,0,0
21,203,253,0,0,0,1,0,0,0,0,0
116,208,121,0,0,0,0,0,1,0,0,0
253,148,56,0,0,0,0,0,0,0,1,0
254,160,60,0,0,0,0,0,0,0,1,0
253,84,185,0,1,0,0,0,0,0,0,0
254,81,49,0,0,0,0,0,0,0,0,1
98,115,255,0,0,1,0,0,0,0,0,0
89,215,167,0,0,0,0,0,1,0,0,0
241,102,253,0,0,1,0,0,0,0,0,0
253,83,179,0,1,0,0,0,0,0,0,0
203,194,63,0,0,0,0,0,0,1,0,0
255,74,133,0,1,0,0,0,0,0,0,0
178,199,62,0,0,0,0,0,0,1,0,0
221,192,64,0,0,0,0,0,0,1,0,0
95,214,160,0,0,0,0,0,1,0,0,0
172,108,255,0,0,1,0,0,0,0,0,0
126,111,252,0,0,1,0,0,0,0,0,0
254,184,63,0,0,0,0,0,0,1,0,0
252,96,232,0,0,1,0,0,0,0,0,0
95,212,157,0,0,0,0,0,1,0,0,0
89,216,165,0,0,0,0,0,1,0,0,0
103,114,255,0,0,1,0,0,0,0,0,0
150,201,62,0,0,0,0,0,0,1,0,0
3,223,255,0,0,0,1,0,0,0,0,0
1,224,255,0,0,0,1,0,0,0,0,0
255,71,133,0,1,0,0,0,0,0,0,0
222,191,64,0,0,0,0,0,0,1,0,0
146,203,64,0,0,0,0,0,0,1,0,0
71,218,192,0,0,0,0,0,1,0,0,0
202,194,67,0,0,0,0,0,0,1,0,0
32,227,233,0,0,0,0,1,0,0,0,0
186,108,254,0,0,1,0,0,0,0,0,0
255,162,59,0,0,0,0,0,0,0,1,0
255,52,48,0,0,0,0,0,0,0,0,1
139,203,67,0,0,0,0,0,0,1,0,0
128,205,99,0,0,0,0,0,0,1,0,0
106,211,144,0,0,0,0,0,1,0,0,0
115,209,121,0,0,0,0,0,1,0,0,0
21,203,253,0,0,0,1,0,0,0,0,0
117,114,255,0,0,1,0,0,0,0,0,0
254,119,55,0,0,0,0,0,0,0,1,0
63,221,206,0,0,0,0,1,0,0,0,0
221,192,64,0,0,0,0,0,0,1,0,0
182,198,65,0,0,0,0,0,0,1,0,0
247,188,68,0,0,0,0,0,0,1,0,0
26,189,254,0,0,0,1,0,0,0,0,0
45,142,255,0,0,0,1,0,0,0,0,0
213,194,65,0,0,0,0,0,0,1,0,0
48,132,255,0,0,0,1,0,0,0,0,0
255,108,56,0,0,0,0,0,0,0,1,0
49,123,255,0,0,1,0,0,0,0,0,0
255,122,53,0,0,0,0,0,0,0,1,0
255,164,63,0,0,0,0,0,0,0,1,0
21,201,254,0,0,0,1,0,0,0,0,0
254,81,49,0,0,0,0,0,0,0,0,1
48,224,222,0,0,0,0,1,0,0,0,0
142,203,63,0,0,0,0,0,0,1,0,0
1,224,255,0,0,0,1,0,0,0,0,0
101,214,150,0,0,0,0,0,1,0,0,0
255,122,57,0,0,0,0,0,0,0,1,0
215,192,64,0,0,0,0,0,0,1,0,0
255,62,65,1,0,0,0,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
252,97,235,0,0,1,0,0,0,0,0,0
205,195,64,0,0,0,0,0,0,1,0,0
1,226,254,0,0,0,0,1,0,0,0,0
254,81,171,0,1,0,0,0,0,0,0,0
253,175,64,0,0,0,0,0,0,1,0,0
254,177,63,0,0,0,0,0,0,1,0,0
46,144,255,0,0,0,1,0,0,0,0,0
45,139,255,0,0,0,1,0,0,0,0,0
255,65,93,1,0,0,0,0,0,0,0,0
174,109,255,0,0,1,0,0,0,0,0,0
255,52,48,0,0,0,0,0,0,0,0,1
98,212,150,0,0,0,0,0,1,0,0,0
42,224,225,0,0,0,0,1,0,0,0,0
89,216,171,0,0,0,0,0,1,0,0,0
0,227,255,0,0,0,1,0,0,0,0,0
255,136,56,0,0,0,0,0,0,0,1,0
80,218,182,0,0,0,0,0,1,0,0,0
255,93,54,0,0,0,0,0,0,0,0,1
43,225,228,0,0,0,0,1,0,0,0,0
150,201,60,0,0,0,0,0,0,1,0,0
33,179,254,0,0,0,1,0,0,0,0,0
